episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
49,1.0,117,142,25,0.1761,117.0,60.0,14.5,18.0,0.8056,1.95,14.4,0.0,0.06,1081.5,60,0.55318,52516.179688,1.477862,-0.326604,0.8494,1.0,1.4221
50,1.0,132,158,26,0.1646,132.0,60.0,17.88,18.0,0.9932,2.2,17.78,0.0,0.06,931.96,60,0.334281,41420.805078,1.478668,-0.473968,0.548,1.0,1.4464
51,1.0,111,129,18,0.1395,111.0,60.0,17.81,18.0,0.9895,1.85,17.71,0.0,0.06,1409.75,60,0.860907,79968.983594,1.479513,-0.371433,0.718,1.0,1.3144
52,1.0,135,172,37,0.2151,135.0,60.0,11.46,18.0,0.6366,2.25,11.36,0.0,0.06,761.35,60,0.197462,24854.717383,1.48057,-0.275132,0.8113,1.0,1.447
53,1.0,127,147,20,0.1361,127.0,60.0,20.82,18.0,1.1567,2.1167,20.72,0.0,0.06,1494.37,60,0.717248,94263.352344,1.481516,-0.576692,0.842,1.0,1.3639
54,1.0,126,154,28,0.1818,126.0,60.0,14.89,18.0,0.8273,2.1,14.79,0.0,0.06,807.6,60,0.28912,24566.975586,1.482251,-0.437005,0.5316,1.0,1.4817
55,1.0,128,163,35,0.2147,128.0,60.0,10.92,18.0,0.6064,2.1333,10.82,0.0,0.06,690.89,60,0.417987,19129.191797,1.483101,-0.327773,0.6596,1.0,1.3865
56,1.0,127,153,26,0.1699,127.0,60.0,16.52,18.0,0.9177,2.1167,16.42,0.0,0.06,1388.81,60,0.109512,87236.394531,1.484099,-0.408915,0.6356,1.0,1.2897
57,1.0,105,133,28,0.2105,105.0,60.0,9.39,18.0,0.5219,1.75,9.29,0.0,0.06,591.35,60,0.698995,17491.402539,1.484946,-0.39247,0.9706,1.0,1.3792
58,1.0,145,166,21,0.1265,145.0,60.0,25.16,18.0,1.3976,2.4167,25.06,0.0,0.06,1508.24,60,0.172596,112565.74375,1.485996,-0.308952,0.8705,1.0,1.3685
59,1.0,102,124,22,0.1774,102.0,60.0,12.5,18.0,0.6946,1.7,12.4,0.0,0.06,772.94,60,0.428007,25556.442383,1.486818,-0.439162,0.6144,1.0,1.3219
60,1.0,139,173,34,0.1965,139.0,60.0,14.38,18.0,0.799,2.3167,14.28,0.0,0.06,1168.67,60,0.684581,61624.744141,1.487763,-0.290588,0.5115,1.0,1.2902
61,1.0,105,122,17,0.1393,105.0,60.0,16.87,18.0,0.9372,1.75,16.77,0.0,0.06,870.24,60,0.26801,34759.759766,1.488896,-0.318345,0.9011,1.0,1.3422
