episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
194,1.0,129,160,31,0.1938,129.0,60.0,13.71,18.0,0.7615,2.15,13.61,2.0323,0.06,909.74,60,1.421128,34681.714062,1.644598,-0.543053,0.0,1.0,1.3486
195,1.0,124,138,14,0.1014,124.0,60.0,24.62,18.0,1.3678,2.0667,24.52,2.0365,0.06,1311.05,60,0.380818,92395.002344,1.645769,-0.43348,0.0,1.0,1.3927
196,1.0,131,155,24,0.1548,131.0,60.0,19.02,18.0,1.0565,2.1833,18.92,2.0459,0.06,1076.95,60,0.715026,52365.913672,1.646455,-0.430064,0.0,1.0,1.3552
197,1.0,113,133,20,0.1504,113.0,60.0,16.91,18.0,0.9393,1.8833,16.81,2.055,0.06,737.32,60,0.782285,27749.995703,1.647018,-0.59076,0.0,1.0,1.4076
198,1.0,98,119,21,0.1765,98.0,60.0,12.11,18.0,0.6725,1.6333,12.01,2.0666,0.06,617.2,60,0.403842,14718.347852,1.647683,-0.370678,0.0,1.0,1.365
199,1.0,127,144,17,0.1181,127.0,60.0,23.11,18.0,1.2837,2.1167,23.01,2.0724,0.06,1580.98,60,0.34083,107448.028125,1.648241,-0.508856,0.0,1.0,1.365
200,1.0,114,143,29,0.2028,114.0,60.0,11.08,18.0,0.6156,1.9,10.98,2.0867,0.06,674.34,60,0.397018,25153.045703,1.64867,-0.336585,0.0,1.0,1.393
201,1.0,127,152,25,0.1645,127.0,60.0,17.21,18.0,0.9562,2.1167,17.11,2.0972,0.06,606.86,60,0.366129,18559.088477,1.649147,-0.398775,0.0,1.0,1.4051
202,1.0,136,168,32,0.1905,136.0,60.0,14.9,18.0,0.8275,2.2667,14.8,2.1102,0.06,774.91,60,0.523899,24984.629492,1.649692,-0.431967,0.0,1.0,1.4137
203,1.0,121,154,33,0.2143,121.0,60.0,10.37,18.0,0.5762,2.0167,10.27,2.1256,0.06,564.75,60,1.238811,10915.349805,1.650445,-0.500613,0.0,1.0,1.4028
204,1.0,128,162,34,0.2099,128.0,60.0,11.54,18.0,0.6409,2.1333,11.44,2.1406,0.06,900.99,60,0.862093,31801.978516,1.651703,-0.246552,0.0,1.0,1.3271
205,1.0,116,150,34,0.2267,116.0,60.0,8.51,18.0,0.4726,1.9333,8.41,2.1573,0.06,262.45,60,0.509439,1323.31991,1.653225,-0.343788,0.0,1.0,1.2733
